Jornadas
fecha,local,visitante
Jornada
19/11/2022,Almeria,At. Bilbao
20/11/2022,Celta de Vigo,Espanyol
23/11/2022,Valladolid,Villareal CF
23/11/2022,FC Barcelona,Rayo Vallecano
23/11/2022,Cádiz,Real Sociedad
23/11/2022,Valencia CF,Girona CF
23/11/2022,Real Madrid,At. Osasuna
23/11/2022,Sevilla FC,RC Mallorca
23/11/2022,Getafe CF,At. Madrid
23/11/2022,Betis,Elche CF
Jornada
30/11/2022,Espanyol,Rayo Vallecano
30/11/2022,Sevilla FC,Valladolid
30/11/2022,At. Osasuna,Cádiz
30/11/2022,RC Mallorca,Betis
30/11/2022,Celta de Vigo,Real Madrid
30/11/2022,At. Bilbao,Valencia CF
30/11/2022,At. Madrid,Villareal CF
30/11/2022,Real Sociedad,FC Barcelona
30/11/2022,Elche CF,Almeria
30/11/2022,Girona CF,Getafe CF
