Jornadas
fecha,local,visitante
Jornada
12/01/2023,At. Osasuna,Sevilla FC
13/01/2023,Celta de Vigo,Espanyol
14/01/2023,Valladolid,Villareal CF
14/01/2023,FC Barcelona,Rayo Vallecano
14/01/2023,Cádiz,Real Sociedad
14/01/2023,Valencia CF,Girona CF
14/01/2023,Real Madrid,Almeria
14/01/2023,At. Bilbao,RC Mallorca
14/01/2023,Getafe CF,At. Madrid
14/01/2023,Betis,Elche CF
Jornada
19/01/2023,Espanyol,Rayo Vallecano
19/01/2023,Sevilla FC,Valladolid
19/01/2023,At. Osasuna,Cádiz
19/01/2023,RC Mallorca,Betis
19/01/2023,Celta de Vigo,Real Madrid
19/01/2023,At. Bilbao,Valencia CF
19/01/2023,At. Madrid,Villareal CF
19/01/2023,Real Sociedad,FC Barcelona
19/01/2023,Elche CF,Almeria
19/01/2023,Girona CF,Getafe CF
